NodeType,MIMversion,MO,Conf_1,Conf_2,Conf_3,Conf_4,Conf_5
,,ImExternalAnnouncements,1,,,,
,,ImMessageComposition,5,,,,
,,ImMultiLanguageMessage,1,,,,
,,ImService,0,,,,
,,ImVariableMessage,10,,,,
,,ImaGroup,1,,,,
,,ImaLink,2,,,,
,,InmarsatService,0,,,,
,,InternalLinkGroup,3,,,,
,,Ip,1,,,,
,,IpAccessHostEt,10,,,,
,,IpAccessHostGpb,2,,,,
,,IpAccessHostPool,5,,,,
,,IpAccessHostSpecificPool,1,,,,
,,IpAtmLink,5,,,,
,,IpConnectivitySupervision,1,,,,
,,IpEtService,0,,,,
,,IpInterface,5,,,,
,,IpMux,3,,,,
,,Ipv6Interface,2,,,,
,,IuaApplicationServer,12,,,,
,,JitterHandlingService,0,,,,
,,M3uAssociation,50,,,,
,,M3uaRemoteSp,10,,,,
,,MccService,0,,,,
,,MediaQualityMeasurement,0,,,,
,,MediumAccessUnit,0,,,,
,,MgwApplication,1,,,,
,,MpcService,0,,,,
,,MrfcFunction,1,,,,
,,MrfpFunction,1,,,,
,,MrfpH248Association,3,,,,
,,MsDeviceGroup,0,,,,
,,MsProcessing,1,,,,
,,MscPoolProxy,5,,,,
,,Mtp2HslTpChina,2,,,,
,,Mtp2HslTpItu,2,,,,
,,Mtp2TpAnsi,5,,,,
,,Mtp2TpChina,9,,,,
,,Mtp2TpItu,2,,,,
,,Mtp2TpTtc,2,,,,
,,Mtp3bAp,2,,,,
,,Mtp3bSlAnsi,5,,,,
,,Mtp3bSlChina,5,,,,
,,Mtp3bSlItu,5,,,,
,,Mtp3bSlTtc,5,,,,
,,Mtp3bSpAnsi,5,,,,
,,Mtp3bSpChina,5,,,,
,,Mtp3bSpItu,5,,,,
,,Mtp3bSpTtc,10,,,,
,,Mtp3bSr,10,,,,
,,Mtp3bSrs,3,,,,
,,NniSaalTp,5,,,,
,,NrService,0,,,,
,,OpusService,0,,,,
,,Os155SpiTtp,3,,,,
,,Ospf,1,,,,
,,OspfArea,2,,,,
,,OspfInterface,16,,,,
,,PcmService,0,,,,
,,PlugInUnit,0,,,,
,,RemoteBsc,5,,,,
,,RemoteMsc,5,,,,
,,RemoteRnc,5,,,,
,,RemoteSite,10,,,,
,,RtpRtcpService,0,,,,
,,SccpAccountingCriteria,20,,,,
,,SccpPolicing,5,,,,
,,SccpScrc,0,,,,
,,SccpSp,5,,,,
,,Sctp,5,,,,
,,SctpAssociation,511,,,,
,,Sts1SpeTtp,2,,,,
,,Sts3CspeTtp,1,,,,
,,SwitchInternalLinkPort,3,,,,
,,SwitchPortStp,1,,,,
,,SwitchStp,1,,,,
,,Synchronization,1,,,,
,,T1PhysPathTerm,1,,,,
,,T1Ttp,1,,,,
,,T38FaxService,1,,,,
,,TdmTermGrp,1,,,,
,,TfoService,0,,,,
,,ToneSenderService,0,,,,
,,UnknownRemoteSite,0,,,,
,,UpFhService,0,,,,
,,VP8Service,0,,,,
,,VbdService,0,,,,
,,Vbgf,12,,,,
,,Vc11Ttp,28,,,,
,,Vc12Ttp,3,,,,
,,Vc3Ttp,2,,,,
,,Vc4Ttp,1,,,,
,,VclTp,100,,,,
,,Vmgw,2,,,,
,,Vmrfc,2,,,,
,,Vmrfp,2,,,,
,,VpcTp,1,,,,
,,VplTp,3,,,,
,,VppEthernetInterface,1,,,,
,,VppUnit,0,,,,
,,Vt15Ttp,28,,,,
MTAS,16B-CORE-V2,MtasMediaResourceSite,255,,,,
SGSN,16A-CP02-WPP-V3,AllocationRetentionPriority,99,,,,
,,ApOlpPriority,99,,,,
,,BfdNeighbor,0,,,,
,,BgpPeer,99,,,,
,,DiameterApplication,99,,,,
,,DiameterPeer,99,,,,
,,EthPort,99,,,,
,,GbIpNse,99,,,,
,,GreTa,99,,,,
,,GtpInterface,99,,,,
,,IPsecSa,99,,,,
,,IpInterface,99,,,,
,,IpPacketFilter,99,,,,
,,MmeFunction,99,,,,
,,Msc,99,,,,
,,OspfArea,99,,,,
,,OspfInterface,99,,,,
,,OspfNeighbor,99,,,,
,,PIU,99,,,,
,,PayloadDPInstance,89,,,,
,,QosClassIdentifier,89,,,,
,,RA,89,,,,
,,RNC,90,,,,
,,RouterInstance,89,,,,
,,SctpUser,89,,,,
,,SgsMsc,0,,,,
,,SgsnFunction,99,,,,
,,SgsnMme,99,,,,
,,Ss7LocalSignalingPoint,99,,,,
,,Ss7M3uaRemoteSp,99,,,,
,,Ss7Mtpl2Link,99,,,,
,,Ss7Mtpl3Linkset,99,,,,
,,Ss7Mtpl3Route,198,,,,
,,Ss7Mtpl3Routeset,99,,,,
,,Ss7SysOlpPriority,99,,,,
,,Ss7TcapSubsystem,99,,,,
SGSN,default,AllocationRetentionPriority,99,,,,
,,ApOlpPriority,99,,,,
,,BfdNeighbor,0,,,,
,,BgpNeighbor,0,,,,
,,BgpPeer,99,,,,
,,DiameterApplication,99,,,,
,,DiameterPeer,99,,,,
,,EthPort,99,,,,
,,GbIpNse,99,,,,
,,GreTa,99,,,,
,,GtpInterface,99,,,,
,,IPsecSa,99,,,,
,,IpEquipmentPositionNetworkPm,0,,,,
,,IpInterface,99,,,,
,,IpInterfacePm,0,,,,
,,IpPacketFilter,99,,,,
,,MmeFunction,99,,,,
,,Msc,99,,,,
,,OspfArea,99,,,,
,,OspfInterface,99,,,,
,,OspfNeighbor,99,,,,
,,Ospfv3Area,0,,,,
,,Ospfv3Interface,0,,,,
,,Ospfv3Neighbor,0,,,,
,,PIU,99,,,,
,,PayloadDPInstance,89,,,,
,,QosClassIdentifier,89,,,,
,,RA,89,,,,
,,RNC,90,,,,
,,RouterInstance,89,,,,
,,SctpUser,89,,,,
,,SgsMsc,0,,,,
,,SgsnFunction,99,,,,
,,SgsnMme,99,,,,
,,Ss7LocalSignalingPoint,99,,,,
,,Ss7M3uaRemoteSp,99,,,,
,,Ss7Mtpl2Link,99,,,,
,,Ss7Mtpl3Linkset,99,,,,
,,Ss7Mtpl3Route,198,,,,
,,Ss7Mtpl3Routeset,99,,,,
,,Ss7SctpDPInstance,0,,,,
,,Ss7SysOlpPriority,99,,,,
,,Ss7TcapSubsystem,99,,,,
ERBS,Other_MO,SctpAssociation,1,,,,
,,DnsResolver,0,,,,
,,InternalEthernetPort,0,,,,
,,EnergyMeasurement,0,,,,
,,RiPort,1,,,,
,,PmUlInterferenceReport,1,,,,
,,DnsClient,0,,,,
,,SectorCarrier,1,,,,
,,FastEthernet,0,,,,
,,GtpPath,0,,,,
,,IpFlowMonitor,0,,,,
MSRBS-V2,Other_MO,PmUlInterferenceReport,1,,,,
,,SectorCarrier,1,,,,
,,BfdSessionIPv6,0,,,,
,,Ikev2Session,0,,,,
,,InterfaceIPv6,0,,,,
,,EnergyMeasurement,0,,,,
,,RiLink,0,,,,
,,BfdSessionIPv4,0,,,,
,,RiPort,0,,,,
,,AclEntryIpv4Stats,0,,,,
,,Sctp,0,,,,
,,SctpAssociation,1,,,,
,,EthernetOamLocalMep,0,,,,
,,AclIpv4Stats,0,,,,
,,DhcpRelayIPv4,0,,,,
,,AclIpv6Stats,0,,,,
,,QueueTailDrop,0,,,,
,,SfpModule,0,,,,
,,IpsecPolicy,0,,,,
,,IpsecTunnel,0,,,,
,,QueueRed,0,,,,
,,AclEntryIpv6Stats,0,,,,
RNC,Other_MO,Mtp3bSlAnsi,0,,,,
,,Mtp2HslTpItu,0,,,,
,,Vt15Ttp,0,,,,
,,EthernetLink,0,,,,
,,MediumAccessUnit,0,,,,
,,CchFrameSynch,0,,,,
,,NbapCommon,0,,,,
,,Ura,0,,,,
,,SccpScrc,0,,,,
,,IuBcLink,0,,,,
,,Mtp2TpTtc,0,,,,
,,GpsSyncRef,0,,,,
,,Mtp3bSr,0,,,,
,,DnsClient,0,,,,
,,Mtp3bAp,0,,,,
,,M3uaRemoteSp,0,,,,
